Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
7,"n=500, prev=0.5, high, weak",ACS-Knee,200.4,N/A,0.831,0.074,0.0322,0.0843,0.1487,N/A,0.945
7,"n=500, prev=0.5, high, weak",ACS-Weighted,208.9,N/A,0.866,0.098,0.0597,0.0963,0.1581,N/A,0.904
7,"n=500, prev=0.5, high, weak",Fixed-0.1,184.4,N/A,0.764,0.068,0.0003,0.0849,0.1510,N/A,0.956
7,"n=500, prev=0.5, high, weak",Fixed-0.2,189.0,N/A,0.784,0.065,0.0037,0.0829,0.1487,N/A,0.966
7,"n=500, prev=0.5, high, weak",Fixed-0.5,195.7,N/A,0.811,0.067,0.0174,0.0816,0.1468,N/A,0.959
7,"n=500, prev=0.5, high, weak",No Caliper,241.4,N/A,1.000,0.328,0.2240,0.2258,0.2671,N/A,0.379
8,"n=500, prev=0.5, high, strong",ACS-Balance,204.6,N/A,0.847,0.088,0.1423,0.1539,0.2282,N/A,0.860
8,"n=500, prev=0.5, high, strong",ACS-Knee,200.1,N/A,0.829,0.073,0.0990,0.1265,0.2102,N/A,0.911
8,"n=500, prev=0.5, high, strong",ACS-Weighted,209.2,N/A,0.866,0.101,0.1970,0.2067,0.2851,N/A,0.699
8,"n=500, prev=0.5, high, strong",Fixed-0.1,184.2,N/A,0.763,0.067,-0.0038,0.0897,0.1820,N/A,0.989
8,"n=500, prev=0.5, high, strong",Fixed-0.2,188.9,N/A,0.782,0.063,0.0045,0.0870,0.1793,N/A,0.989
8,"n=500, prev=0.5, high, strong",Fixed-0.5,195.5,N/A,0.810,0.067,0.0502,0.0959,0.1845,N/A,0.977
8,"n=500, prev=0.5, high, strong",No Caliper,241.6,N/A,1.000,0.330,0.7423,0.7423,0.7829,N/A,0.015
9,"n=500, prev=0.5, medium, weak",ACS-Balance,160.6,N/A,0.664,0.091,0.0337,0.0912,0.1631,N/A,0.954
9,"n=500, prev=0.5, medium, weak",ACS-Knee,164.3,N/A,0.679,0.106,0.0459,0.0966,0.1671,N/A,0.935
9,"n=500, prev=0.5, medium, weak",ACS-Weighted,180.0,N/A,0.744,0.153,0.0981,0.1236,0.1886,N/A,0.822
9,"n=500, prev=0.5, medium, weak",Fixed-0.1,147.1,N/A,0.608,0.088,-0.0002,0.0918,0.1664,N/A,0.965
9,"n=500, prev=0.5, medium, weak",Fixed-0.2,150.1,N/A,0.621,0.086,0.0027,0.0904,0.1638,N/A,0.968
9,"n=500, prev=0.5, medium, weak",Fixed-0.5,159.4,N/A,0.659,0.096,0.0291,0.0897,0.1615,N/A,0.951
9,"n=500, prev=0.5, medium, weak",No Caliper,242.1,N/A,1.000,0.537,0.3947,0.3947,0.4194,N/A,0.028
10,"n=500, prev=0.5, medium, strong",ACS-Balance,160.0,N/A,0.661,0.091,0.1216,0.1468,0.2308,N/A,0.908
10,"n=500, prev=0.5, medium, strong",ACS-Knee,163.5,N/A,0.676,0.106,0.1582,0.1819,0.2671,N/A,0.783
10,"n=500, prev=0.5, medium, strong",ACS-Weighted,179.9,N/A,0.743,0.155,0.3473,0.3519,0.4354,N/A,0.421
10,"n=500, prev=0.5, medium, strong",Fixed-0.1,146.5,N/A,0.605,0.087,0.0101,0.1028,0.1992,N/A,0.984
10,"n=500, prev=0.5, medium, strong",Fixed-0.2,149.4,N/A,0.617,0.086,0.0227,0.1026,0.1985,N/A,0.984
10,"n=500, prev=0.5, medium, strong",Fixed-0.5,158.8,N/A,0.656,0.097,0.1065,0.1329,0.2200,N/A,0.939
10,"n=500, prev=0.5, medium, strong",No Caliper,242.2,N/A,1.000,0.540,1.3434,1.3434,1.3669,N/A,0.000
11,"n=500, prev=0.5, low, weak",ACS-Balance,119.9,N/A,0.493,0.095,0.0224,0.1081,0.1896,N/A,0.950
11,"n=500, prev=0.5, low, weak",ACS-Knee,130.3,N/A,0.536,0.138,0.0583,0.1199,0.1962,N/A,0.915
