Scenario ID,Scenario,Method,Retention,Max |SMD|,Mean |Bias|,RMSE,Coverage,CI Width
20,"n=1000, prev=0.3, high, strong",Fixed-0.1,0.9501,0.0658,0.0724,0.1441,0.982,0.4368
20,"n=1000, prev=0.3, high, strong",Fixed-0.2,0.9619,0.0639,0.0712,0.1426,0.982,0.4338
20,"n=1000, prev=0.3, high, strong",Fixed-0.5,0.9762,0.0633,0.0711,0.1424,0.976,0.431
20,"n=1000, prev=0.3, high, strong",No Caliper,1.0,0.0693,0.0913,0.1585,0.935,0.4302
21,"n=1000, prev=0.3, medium, weak",ACS-Balance,0.9102,0.0901,0.0773,0.1306,0.925,0.3478
21,"n=1000, prev=0.3, medium, weak",ACS-Knee,0.8894,0.079,0.0746,0.129,0.934,0.3518
21,"n=1000, prev=0.3, medium, weak",ACS-Weighted,0.9205,0.0903,0.0802,0.133,0.915,0.3458
21,"n=1000, prev=0.3, medium, weak",Fixed-0.1,0.818,0.0706,0.0706,0.1287,0.958,0.3659
21,"n=1000, prev=0.3, medium, weak",Fixed-0.2,0.8295,0.0695,0.0699,0.128,0.957,0.3632
21,"n=1000, prev=0.3, medium, weak",Fixed-0.5,0.8644,0.0733,0.07,0.1263,0.956,0.3562
21,"n=1000, prev=0.3, medium, weak",No Caliper,1.0,0.1675,0.1196,0.1631,0.747,0.3338
22,"n=1000, prev=0.3, medium, strong",ACS-Balance,0.9101,0.0899,0.1566,0.2133,0.751,0.4414
22,"n=1000, prev=0.3, medium, strong",ACS-Knee,0.89,0.079,0.1312,0.1967,0.839,0.4448
22,"n=1000, prev=0.3, medium, strong",ACS-Weighted,0.9185,0.0886,0.1728,0.2326,0.684,0.4412
22,"n=1000, prev=0.3, medium, strong",Fixed-0.1,0.8162,0.0708,0.0786,0.1521,0.984,0.4586
22,"n=1000, prev=0.3, medium, strong",Fixed-0.2,0.8277,0.0697,0.0773,0.1509,0.986,0.4555
22,"n=1000, prev=0.3, medium, strong",Fixed-0.5,0.8629,0.0721,0.0878,0.1582,0.96,0.4478
22,"n=1000, prev=0.3, medium, strong",No Caliper,1.0,0.1674,0.3765,0.411,0.1,0.4445
23,"n=1000, prev=0.3, low, weak",ACS-Balance,0.711,0.0918,0.084,0.1445,0.946,0.3939
23,"n=1000, prev=0.3, low, weak",ACS-Knee,0.7303,0.1054,0.0892,0.1488,0.912,0.3889
23,"n=1000, prev=0.3, low, weak",ACS-Weighted,0.8025,0.1388,0.1103,0.1653,0.812,0.3718
23,"n=1000, prev=0.3, low, weak",Fixed-0.1,0.6349,0.0863,0.0822,0.1476,0.958,0.4165
23,"n=1000, prev=0.3, low, weak",Fixed-0.2,0.6492,0.0838,0.0805,0.1452,0.962,0.4115
23,"n=1000, prev=0.3, low, weak",Fixed-0.5,0.7098,0.0981,0.0805,0.1423,0.944,0.3931
23,"n=1000, prev=0.3, low, weak",No Caliper,1.0,0.33,0.2387,0.2672,0.214,0.3371
24,"n=1000, prev=0.3, low, strong",ACS-Balance,0.711,0.0916,0.1429,0.2108,0.846,0.4923
24,"n=1000, prev=0.3, low, strong",ACS-Knee,0.731,0.1052,0.1774,0.2501,0.708,0.4881
24,"n=1000, prev=0.3, low, strong",ACS-Weighted,0.8058,0.1402,0.3047,0.3667,0.366,0.4718
24,"n=1000, prev=0.3, low, strong",Fixed-0.1,0.6347,0.0862,0.093,0.1754,0.973,0.5166
24,"n=1000, prev=0.3, low, strong",Fixed-0.2,0.6487,0.0839,0.0921,0.1741,0.963,0.5115
24,"n=1000, prev=0.3, low, strong",Fixed-0.5,0.709,0.098,0.1306,0.2014,0.885,0.4919
24,"n=1000, prev=0.3, low, strong",No Caliper,1.0,0.331,0.7884,0.807,0.0,0.4648
25,"n=1000, prev=0.5, high, weak",ACS-Balance,0.856,0.0849,0.0701,0.1125,0.894,0.2807
25,"n=1000, prev=0.5, high, weak",ACS-Knee,0.8214,0.0549,0.063,0.1068,0.931,0.2864
25,"n=1000, prev=0.5, high, weak",ACS-Weighted,0.8577,0.0821,0.0749,0.1171,0.869,0.2807
25,"n=1000, prev=0.5, high, weak",Fixed-0.1,0.7771,0.0456,0.0594,0.1051,0.956,0.2938
25,"n=1000, prev=0.5, high, weak",Fixed-0.2,0.7875,0.044,0.0594,0.1047,0.953,0.2921
25,"n=1000, prev=0.5, high, weak",Fixed-0.5,0.811,0.0502,0.0594,0.104,0.948,0.288
25,"n=1000, prev=0.5, high, weak",No Caliper,1.0,0.3122,0.2299,0.2523,0.11,0.2678
26,"n=1000, prev=0.5, high, strong",ACS-Balance,0.8561,0.0849,0.1719,0.2093,0.571,0.3666
26,"n=1000, prev=0.5, high, strong",ACS-Knee,0.8203,0.0542,0.096,0.1526,0.874,0.3705
26,"n=1000, prev=0.5, high, strong",ACS-Weighted,0.8596,0.0829,0.185,0.237,0.553,0.3669
26,"n=1000, prev=0.5, high, strong",Fixed-0.1,0.7776,0.0458,0.0625,0.1243,0.987,0.3778
26,"n=1000, prev=0.5, high, strong",Fixed-0.2,0.7882,0.0447,0.062,0.1232,0.984,0.3753
26,"n=1000, prev=0.5, high, strong",Fixed-0.5,0.811,0.0505,0.0754,0.1326,0.954,0.3712
26,"n=1000, prev=0.5, high, strong",No Caliper,1.0,0.3112,0.7665,0.7877,0.0,0.4004
27,"n=1000, prev=0.5, medium, weak",ACS-Balance,0.6784,0.0903,0.0763,0.1233,0.906,0.3151
27,"n=1000, prev=0.5, medium, weak",ACS-Knee,0.6617,0.0784,0.0727,0.121,0.919,0.3189
27,"n=1000, prev=0.5, medium, weak",ACS-Weighted,0.7298,0.132,0.1084,0.1521,0.742,0.3049
27,"n=1000, prev=0.5, medium, weak",Fixed-0.1,0.6104,0.0611,0.0645,0.1171,0.957,0.3311
27,"n=1000, prev=0.5, medium, weak",Fixed-0.2,0.6196,0.0601,0.0629,0.1153,0.956,0.3288
27,"n=1000, prev=0.5, medium, weak",Fixed-0.5,0.656,0.0761,0.0672,0.117,0.947,0.3199
27,"n=1000, prev=0.5, medium, weak",No Caliper,1.0,0.5236,0.4121,0.4241,0.0,0.2708
28,"n=1000, prev=0.5, medium, strong",ACS-Balance,0.6791,0.0899,0.1673,0.2146,0.635,0.3987
28,"n=1000, prev=0.5, medium, strong",ACS-Knee,0.6633,0.0788,0.1391,0.2009,0.747,0.4023
28,"n=1000, prev=0.5, medium, strong",ACS-Weighted,0.7319,0.1342,0.3166,0.3807,0.28,0.3918
28,"n=1000, prev=0.5, medium, strong",Fixed-0.1,0.6122,0.0608,0.0692,0.137,0.981,0.4151
28,"n=1000, prev=0.5, medium, strong",Fixed-0.2,0.6211,0.0595,0.0706,0.1376,0.977,0.4123
28,"n=1000, prev=0.5, medium, strong",Fixed-0.5,0.657,0.0756,0.113,0.1698,0.86,0.403
28,"n=1000, prev=0.5, medium, strong",No Caliper,1.0,0.5213,1.3543,1.366,0.0,0.419
29,"n=1000, prev=0.5, low, weak",ACS-Balance,0.5098,0.0902,0.081,0.1368,0.922,0.3635
29,"n=1000, prev=0.5, low, weak",ACS-Knee,0.5203,0.1039,0.0871,0.1423,0.891,0.3606
29,"n=1000, prev=0.5, low, weak",ACS-Weighted,0.6105,0.1756,0.1368,0.1875,0.665,0.3348
29,"n=1000, prev=0.5, low, weak",Fixed-0.1,0.4578,0.0751,0.077,0.137,0.946,0.3828
29,"n=1000, prev=0.5, low, weak",Fixed-0.2,0.4685,0.0757,0.0765,0.1357,0.96,0.3787
29,"n=1000, prev=0.5, low, weak",Fixed-0.5,0.5193,0.1039,0.0827,0.1377,0.925,0.3599
29,"n=1000, prev=0.5, low, weak",No Caliper,1.0,0.6901,0.5391,0.5485,0.0,0.27
30,"n=1000, prev=0.5, low, strong",ACS-Balance,0.5094,0.0901,0.1422,0.2039,0.813,0.4546
30,"n=1000, prev=0.5, low, strong",ACS-Knee,0.5219,0.1061,0.1806,0.2558,0.686,0.4519
30,"n=1000, prev=0.5, low, strong",ACS-Weighted,0.6128,0.1775,0.4187,0.5013,0.209,0.427
30,"n=1000, prev=0.5, low, strong",Fixed-0.1,0.4591,0.0757,0.0801,0.1576,0.98,0.4758
30,"n=1000, prev=0.5, low, strong",Fixed-0.2,0.47,0.0764,0.0811,0.1577,0.975,0.4706
30,"n=1000, prev=0.5, low, strong",Fixed-0.5,0.5204,0.1053,0.1611,0.217,0.764,0.4504
30,"n=1000, prev=0.5, low, strong",No Caliper,1.0,0.6899,1.7964,1.8046,0.0,0.4206
31,"n=1000, prev=0.7, high, weak",ACS-Balance,0.9859,0.0851,0.0752,0.1273,0.919,0.3349
31,"n=1000, prev=0.7, high, weak",ACS-Knee,0.9834,0.0797,0.0755,0.1273,0.924,0.3353
31,"n=1000, prev=0.7, high, weak",ACS-Weighted,0.9887,0.0878,0.0794,0.131,0.906,0.3346
31,"n=1000, prev=0.7, high, weak",Fixed-0.1,0.9518,0.0651,0.0674,0.1211,0.949,0.3405
31,"n=1000, prev=0.7, high, weak",Fixed-0.2,0.9638,0.0649,0.0681,0.1209,0.954,0.3384
31,"n=1000, prev=0.7, high, weak",Fixed-0.5,0.9799,0.0779,0.0705,0.1229,0.938,0.336
31,"n=1000, prev=0.7, high, weak",No Caliper,1.0,0.3597,0.2562,0.2856,0.19,0.3443
32,"n=1000, prev=0.7, high, strong",ACS-Balance,0.9855,0.0856,0.1414,0.1985,0.782,0.4304
32,"n=1000, prev=0.7, high, strong",ACS-Knee,0.9817,0.077,0.1225,0.1892,0.836,0.4298
32,"n=1000, prev=0.7, high, strong",ACS-Weighted,0.988,0.087,0.1551,0.216,0.725,0.4304
32,"n=1000, prev=0.7, high, strong",Fixed-0.1,0.95,0.0647,0.0715,0.1423,0.985,0.4345
32,"n=1000, prev=0.7, high, strong",Fixed-0.2,0.962,0.0636,0.0717,0.1419,0.989,0.4318
32,"n=1000, prev=0.7, high, strong",Fixed-0.5,0.9789,0.0777,0.1039,0.1666,0.924,0.4298
32,"n=1000, prev=0.7, high, strong",No Caliper,1.0,0.3583,0.855,0.8797,0.0,0.5236
33,"n=1000, prev=0.7, medium, weak",ACS-Balance,0.8667,0.0898,0.0779,0.1323,0.937,0.3554
33,"n=1000, prev=0.7, medium, weak",ACS-Knee,0.8971,0.1338,0.1063,0.1613,0.81,0.3506
33,"n=1000, prev=0.7, medium, weak",ACS-Weighted,0.9466,0.1814,0.1312,0.1781,0.7,0.3416
33,"n=1000, prev=0.7, medium, weak",Fixed-0.1,0.8164,0.0729,0.0735,0.1307,0.951,0.3656
33,"n=1000, prev=0.7, medium, weak",Fixed-0.2,0.8285,0.0723,0.0732,0.1295,0.962,0.363
33,"n=1000, prev=0.7, medium, weak",Fixed-0.5,0.871,0.0987,0.0773,0.1319,0.941,0.3543
33,"n=1000, prev=0.7, medium, weak",No Caliper,1.0,0.5678,0.4311,0.4492,0.001,0.3478
34,"n=1000, prev=0.7, medium, strong",ACS-Balance,0.8657,0.0901,0.1443,0.2056,0.802,0.4469
34,"n=1000, prev=0.7, medium, strong",ACS-Knee,0.8924,0.1284,0.2559,0.3607,0.57,0.4461
34,"n=1000, prev=0.7, medium, strong",ACS-Weighted,0.9444,0.1793,0.4131,0.4588,0.094,0.4394
34,"n=1000, prev=0.7, medium, strong",Fixed-0.1,0.8144,0.0716,0.0784,0.152,0.98,0.4571
34,"n=1000, prev=0.7, medium, strong",Fixed-0.2,0.8263,0.0712,0.0794,0.1518,0.979,0.4538
34,"n=1000, prev=0.7, medium, strong",Fixed-0.5,0.8689,0.0981,0.146,0.2042,0.818,0.4463
34,"n=1000, prev=0.7, medium, strong",No Caliper,1.0,0.5695,1.4558,1.4706,0.0,0.5476
35,"n=1000, prev=0.7, low, weak",ACS-Balance,0.6847,0.0915,0.0856,0.1474,0.933,0.4012
35,"n=1000, prev=0.7, low, weak",ACS-Knee,0.773,0.1891,0.1472,0.2123,0.701,0.382
35,"n=1000, prev=0.7, low, weak",ACS-Weighted,0.8961,0.2978,0.2222,0.2652,0.382,0.3531
35,"n=1000, prev=0.7, low, weak",Fixed-0.1,0.6355,0.0862,0.0819,0.1472,0.948,0.4166
35,"n=1000, prev=0.7, low, weak",Fixed-0.2,0.6505,0.0858,0.0804,0.1453,0.949,0.4115
