method,caliper,n_matched,retention,max_smd,mean_smd,att,se,bias,mse,coverage,ci_width,replication,scenario_id,n,treatment_prevalence,overlap_name,overlap_level,confounding_name,confounding_strength
Fixed-0.2,0.2,293,0.6016427104722792,0.054703500992397965,0.03982804021698622,0.4668510285386338,0.11403547932450421,-0.033148971461366195,0.014102944853715898,1.0,0.4488713360343186,4,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,308,0.6324435318275154,0.07135842175149665,0.03590265352118744,0.55024251634809,0.10847082712165375,0.05024251634808996,0.01429023078544378,1.0,0.42688071134222416,4,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,487,1.0,0.597357964834406,0.39171414765829765,1.938306940344441,0.11047920376705513,1.438306940344441,2.0809325091079898,0.0,0.4341517120161671,4,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.6,317,0.6509240246406571,0.07564486415197794,0.04755108506313683,0.6099436502254224,0.10887691556297145,0.1099436502254224,0.02394178896739644,1.0,0.42843055796238794,4,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.4,298,0.6119096509240246,0.06704519490837015,0.026556963556170873,0.49292041642062157,0.1135403668026901,-0.0070795835793784345,0.012941535397346816,1.0,0.44689114266573343,4,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.0,347,0.7125256673511293,0.12821395296032154,0.09687757196340048,0.7730410474410919,0.10032588840643322,0.2730410474410919,0.0846166974722687,0.0,0.3946507228885965,4,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,298,0.6208333333333333,0.06040541462859885,0.030465762123055254,0.545051200059097,0.10532307401832,0.04505120005909702,0.013122560547433297,1.0,0.4145481490200671,5,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,304,0.6333333333333333,0.060498613277871705,0.024097856029120613,0.5448194546990238,0.10328450780768586,0.04481945469902382,0.01267647307259377,1.0,0.40649148677685565,5,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,323,0.6729166666666667,0.06364043898324849,0.02886668960207608,0.5815158810639882,0.09612802819271932,0.08151588106398822,0.01588543666985851,1.0,0.37823660311017404,5,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,480,1.0,0.54986487632765,0.3446664412259395,1.9094628097408164,0.10548755616698922,1.4094628097408164,1.9977130365485605,0.0,0.4145510867555271,5,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.7,339,0.70625,0.08502004028387926,0.048183163900902826,0.6610211861882469,0.09728713389659262,0.1610211861882469,0.035392608823283614,1.0,0.3827290072169212,5,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.6,330,0.6875,0.06055978132087262,0.03641468723333315,0.5991627270527817,0.0978214685102908,0.09916272705278173,0.019402286138054305,1.0,0.38486891940083107,5,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,0.8,350,0.7291666666666666,0.10850291829375898,0.06800674720178905,0.766757300617736,0.10048811277240123,0.26675730061773595,0.08125731824141998,0.0,0.39527693664021935,5,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,323,0.6605316973415133,0.07043233542049321,0.033822684361986564,0.4534631721034869,0.10769056764630591,-0.04653682789651309,0.013762934710653268,1.0,0.4237319256344655,6,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,324,0.6625766871165644,0.05813201565555754,0.03785807043367399,0.48612353893172294,0.10570746957594113,-0.013876461068277057,0.011366625295927928,1.0,0.4159241377151143,6,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,338,0.6912065439672802,0.07958536753281385,0.03913533771113805,0.5705410359867868,0.10411534987318523,0.07054103598678685,0.01581604383730493,1.0,0.4095956761375674,6,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,489,1.0,0.4046807378187484,0.2759981905950192,1.5109606083833986,0.10414821009908337,1.0109606083833986,1.0328882013697742,0.0,0.40926852798803415,6,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.6,344,0.7034764826175869,0.09379986279966306,0.04899229272419659,0.6271798011370501,0.10585406124809,0.12717980113705007,0.02737978409997399,1.0,0.41640961256345954,6,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.25,326,0.6666666666666666,0.05528887483221573,0.03542607238296841,0.47209415768239865,0.10544182159668006,-0.027905842317601348,0.011896713777080936,1.0,0.41486929867907374,6,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.5,414,0.8466257668711656,0.1967982645503708,0.13160118481781946,1.0102117930168513,0.10173931034019715,0.5102117930168513,0.2706669610019692,0.0,0.39998292344119024,6,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,286,0.5754527162977867,0.056355659480685855,0.02933269368561707,0.5236844743556239,0.10594492330598339,0.02368447435562393,0.01178528109981291,1.0,0.4170675744386325,7,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,289,0.5814889336016097,0.06273671894961584,0.03141156508228669,0.5406752848822624,0.10600121727626428,0.04067528488226235,0.01289073686430299,1.0,0.41727064857825313,7,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,306,0.6156941649899397,0.10673547405949309,0.03995089765924696,0.6329465252330486,0.10185756701103965,0.13294652523304862,0.028049742528950067,1.0,0.40086500893347465,7,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,497,1.0,0.6049202983124802,0.3963878423984392,2.0779779425564615,0.1052392286362747,1.5779779425564615,2.5010896824386815,0.0,0.4135392923691914,7,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.45,302,0.607645875251509,0.09497809641471797,0.039154930722650236,0.6294419151070184,0.103659854546909,0.1294419151070184,0.027500574831258895,1.0,0.407979589998702,7,1,1000,0.5,medium,0.6,strong,1.0
